medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Cefill O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefilop-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefilox 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimag O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimak OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimap OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimax-O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimec O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimig OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimo OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimod OF 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimond O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefimox-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefina O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefinarv-O 200 Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefinex-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefinip-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefinta O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefinwel-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefipal O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefipan-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefipower 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefipower 400mg/400mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (400mg), Ofloxacin (400mg), ANTI INFECTIVES"
Cefipride O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefirex OX 200mg/500mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (500mg), ANTI INFECTIVES"
Cefirise O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefirmit O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefisa O 200mg/200mg Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefisat-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
Cefistar-O Tablet,Treatment of Bacterial infections,Consult a doctor,Consult a doctor,Consult a doctor,"Insomnia (difficulty in sleeping), Dizziness, Headache, Hypersensitivity, Hypereosinophilia, Agranulocytosis (deficiency of granulocytes in the blood), Decreased white blood cell count (lymphocytes), Decreased white blood cell count (neutrophils), Granulocytopenia, Hemolytic anemia, Low blood platelets, Thrombocytosis, Gastrointestinal disturbance, Increased liver enzymes, Increased bilirubin in the blood, Increased blood urea, Pseudomembranous colitis, Jaundice, Acute renal failure, Breathlessness, Seizure, Inflammation of tendons, Tendon rupture, Serum sickness, Drug rash with eosinophilia and systemic symptoms (DRESS) syndrome, Itching, Rash, Drug fever, Joint pain, Erythema multiforme, Stevens-Johnson syndrome, Toxic epidermal necrolysis, Paresthesia (tingling or pricking sensation), Psychotic disorder, Visual disturbance","Cefixime (200mg), Ofloxacin (200mg), ANTI INFECTIVES"
